1,ana,ana,11/01/90,aa,aa,10,10,artes
2,beto,beto,11/01/90,bb,bb,20,20,ingenieria
3,carlos,carlos,11/01/90,cc,cc,30,30,ciencias
4,daniel,daniel,11/01/90,dd,dd,40,40,artes
5,eva,eva,11/01/90,ee,ee,50,50,artes
6,flor,flor,11/01/90,ff,ff,60,60,ingenieria
7,geo,geo,11/01/90,gg,gg,70,70,contaduria
8,hector,hector,11/01/90,hh,hh,80,80,quimica
9,ivan,ivan,11/01/90,ii,ii,90,90,quimica
10,july,july,11/01/90,jj,jj,100,100,licenciatura
11,kelly,kelly,11/01/90,kk,kk,110,110,ingenieria
12,luis,luis,11/01/90,ll,ll,120,120,artes
13,maria,maria,11/01/90,mm,mm,130,130,ciencias
14,nora,nora,11/01/90,nn,nn,140,140,artes
15,oscar,oscar,11/01/90,oo,oo,150,150,psicologia
