Pepito,,,pepito@gmail.com,,,,www.pepito.com
Panchito,,,panchito@gmail.com,,,,www.panchito.com
Juan,Cordoba Maya,08-05-94,j@g,jcm@g,312,310,3D
Ana,Cordoba Maya,21-07-95,a@g,acm@g,310,321,Licpedagogia
Cristina,Maya,17-05-68,c@g,cm@g,313,322,Tegnologia
Hector,Cordoba ,02-05-71,h@c,hc@g,314,305,Tegnologia
Hector,Hernandez,16-09-70,hh@g,hh@g,315,304,Ingenieria
Pedro,Palacios,01-05-49,pp@g,pp@g,316,312,Mecanica
Juan Carlos,Linares,16-09-70,jc@g,jcl@g,317,311,mecanica
Maria,Yepes,05-03-80,my@g,my@g,318,317,medicina
Ana Maria,Yepes,17-05-68,am@g,amy@g,312,316,medicina
Maria Cristina,Nariño,25-07-76,mc@g,mcn@g,313,315,Licpedagogia
Sonia,Maya,01-05-49,s@g,sm@g,314,310,arte
Sonia Maria,Nariño,13-05-76,sm@g,smn@g,320,312,arte
Leonel,Losada,21-10-73,ll@g,ll@g,320,320,ingenieria
